Title,Opponent,Competition,Venue,Home/Away/Neutral,Day,Month,Year,Tag Season,Score (Rangers First),Win/Lose/Draw,Referee:,Crowd,Manager,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22
Rangers v Clyde 15 July 1873,Clyde,Challenge Match,Fleshers Haugh,Home,15,July,1873,1873-74,0-0,Draw,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,D Smith,Peter McNeil,Tom Vallance,William McBeath,J Ryburn,James Yuill,Peter Campbell,William Thomson,James Watson,D Forrest,Moses McNeil,,,,,,,,,,,
Rangers v Clyde 20 September 1873,Clyde,Challenge Match,Fleshers Haugh,Home,20,September,1873,1873-74,7-1,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,D Smith,Peter McNeil,H Anderson,William Thomson,W Watson,Peter Campbell,James Yuill,John Ryburn,John Campbell,Moses McNeil,William McBeath,,,,,,,,,,,
Oxford v Rangers 25 October 1873,Oxford,Challenge Match,Queens Park,Away,25,October,1873,1873-74,3-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,D Campbell,H Anderson,Peter McNeil,James Yuill,P Campbell,William Thomson,W Watson,John Ryburn,John Campbell,William McBeath,Moses McNeil,,,,,,,,,,,
Rangers v Rovers 8 November 1873,Rovers,Challenge Match,Fleshers Haugh,Home,8,November,1873,1873-74,0-0,Draw,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Peter McNeil,H Anderson,Peter Campbell,William McNeil,W Watson,William Thomson,John Ryburn,John Campbell,William McBeath,Moses McNeil,,,,,,,,,,,
Garelochhead Dollopers v Rangers 2 January 1874,Garelochhead Dollopers,Challenge Match,Garelochhead,Away,2,January,1874,1873-74,3-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,Tom Vallance,William McNeil,J McKinlay,John Campbell,D Watson,Moses McNeil,William McBeath,Peter Campbell,J McPhun,Peter McNeil,Unknown or TBC,,,,,,,,,,,
Grandby v Rangers 10 January 1874,Grandby,Challenge Match,Hillhead,Away,10,January,1874,1873-74,6-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,D Smith,W Watson,John Campbell,Peter Campbell,J Rankine,Moses McNeil,William McBeath,John Ryburn,John Campbell,J Baird,William Thomson,,,,,,,,,,,
Havelock v Rangers 31 January 1874,Havelock,Challenge Match,Middleton Park,Away,31,January,1874,1873-74,0-1,Lose,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,
Standard v Rangers 28 February 1874,Standard,Challenge Match,Crosshill,Away,28,February,1874,1873-74,0-0,Draw,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,
Helensburgh v Rangers 21 March 1874,Helensburgh,Challenge Match,Helensburgh,Away,21,March,1874,1873-74,2-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,D Watson,John Campbell,William McNeil,James Yuill,John Campbell,Unknown or TBC,Unknown or TBC,William McBeath,Peter McNeil,Unknown or TBC,Unknown or TBC,,,,,,,,,,,
Star of Leven v Rangers 4 April 1874,Star of Leven,Challenge Match,Unknown,Away,4,April,1874,1873-74,0-3,Lose,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,
Rangers v Helensburgh 18 April 1874,Helensburgh,Challenge Match,Fleshers Haugh,Home,18,April,1874,1873-74,2-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,William McBeath,James Watson,Moses McNeil,Unknown or TBC,,,,,,,,,,,
Rangers v Star of Leven 25 April 1874,Star of Leven,Challenge Match,Fleshers Haugh,Home,25,April,1874,1873-74,0-1,Lose,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Moses McNeil,William McBeath,Moses McNeil,,,,,,,,,,,
Rangers v Rovers 12 September 1874,Rovers,Challenge Match,Fleshers Haugh,Home,12,September,1874,1874-75,2-1,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Moses McNeil,Peter Campbell,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,
Rangers v Star (Vale of Leven) 19 September 1874,Star (Vale of Leven),Challenge Match,Fleshers Haugh,Home,19,September,1874,1874-75,0-0,Draw,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,George Philips,David Gibb,James Watson,John Campbell,,,,,,,,,,,
Helensburgh v Rangers 3 October 1874,Helensburgh,Challenge Match,Helensburgh,Away,3,October,1874,1874-75,1-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,George Philips,David Gibb,James Watson,Unknown or TBC,,,,,,,,,,,
Oxford (Glasgow) v Rangers 10 October 1874,Oxford (Glasgow),Scottish Cup,Queen's Park Recreation Ground,Away,10,October,1874,1874-75,2-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,George Philips,David Gibb,James Watson,John Campbell,,,,,,,,,,,
Vale of Leven Rovers v Rangers 24 October 1874,Vale of Leven Rovers,Challenge Match,Vale of Leven,Away,24,October,1874,1874-75,3-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,James Watson,Peter Campbell,David Gibb,John Campbell,J Rankine,,,,,,,,,,,
Star of Leven v Rangers 31 October 1874,Star of Leven,Challenge Match,Alexandria,Away,31,October,1874,1874-75,3-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,John Campbell,George Philips,David Gibb,James Watson,,,,,,,,,,,
Rangers v Barrhead Rangers 7 November 1874,Barrhead Rangers,Challenge Match,Fleshers Haugh,Home,7,November,1874,1874-75,4-1,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,John Campbell,George Philips,David Gibb,James Watson,,,,,,,,,,,
Rangers v Dumbarton 28 November 1874,Dumbarton,Scottish Cup,Fleshers Haugh,Home,28,November,1874,1874-75,0-0,Draw,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Tom Vallance,Peter McNeil,William McNeil,John Campbell,Moses McNeil,James Watson,Peter Campbell,David Gibb,Unknown or TBC,J Rankine,,,,,,,,,,,
Dumbarton v Rangers 12 December 1874,Dumbarton,Scottish Cup,Boghead Park,Away,12,December,1874,1874-75,0-1,Lose,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Tom Vallance,Peter McNeil,William McNeil,William McBeath,Moses McNeil,James Watson,Peter Campbell,David Gibb,George Philips,J Rankine,,,,,,,,,,,
Rangers v Vale of Leven Rovers 23 January 1875,Vale of Leven Rovers,Challenge Match,Fleshers Haugh,Home,23,January,1875,1874-75,2-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Tom Vallance,Peter McNeil,William McBeath,Peter Campbell,Moses McNeil,John Campbell,George Philips,David Gibb,James Watson,J Rankine,,,,,,,,,,,
Sandyford v Rangers 6 February 1875,Sandyford,Challenge Match,Away Fixture (Venue TBC),Away,6,February,1875,1874-75,3-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,John Campbell,David Gibb,George Philips,James Watson,,,,,,,,,,,
Barrhead Rangers v Rangers 20 February 1875,Barrhead Rangers,Challenge Match,Barrhead,Away,20,February,1875,1874-75,2-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,John Campbell,David Gibb,George Philips,J Rankine,,,,,,,,,,,
Havelock v Rangers 6 March 1875,Havelock,Challenge Match,Middleton Park,Away,6,March,1875,1874-75,2-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Tom Vallance,Peter McNeil,Mackie # 1,William McNeil,Moses McNeil,Peter Campbell,John Campbell,David Gibb,George Philips,J Rankine,,,,,,,,,,,
Rangers v 23rd Renfrew Rifle Volunteers 13 March 1875,23rd Renfrew Rifle Volunteers,Challenge Match,Fleshers Haugh,Home,13,March,1875,1874-75,1-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Tom Vallance,Peter McNeil,James Watson,William McNeil,Moses McNeil,Peter Campbell,John Campbell,David Gibb,George Philips,J Rankine,,,,,,,,,,,
Rovers v Rangers 20 March 1875,Rovers,Challenge Match,Queen's Park Recreation Ground,Away,20,March,1875,1874-75,4-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,John Campbell,David Gibb,George Philips,James Watson,,,,,,,,,,,
Rangers v Sandyford 27 March 1875,Sandyford,Challenge Match,Fleshers Haugh,Home,27,March,1875,1874-75,3-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,John Campbell,David Gibb,James Watson,J Rankine,,,,,,,,,,,
Rangers v Vale of Leven 11 September 1875,Vale of Leven,Challenge Match,Burnbank,Home,11,September,1875,1875-76,1-1,Draw,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,James Watson,George Philips,David Gibb,John Campbell,,,,,,,,,,,
Rangers v Helensburgh 18 September 1875,Helensburgh,Challenge Match,Burnbank,Home,18,September,1875,1875-76,1-1,Draw,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,James Watson,George Philips,David Gibb,John Campbell,,,,,,,,,,,
Vale of Leven v Rangers 25 September 1875,Vale of Leven,Challenge Match,Millburn Park,Away,25,September,1875,1875-76,0-4,Lose,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,James Watson,George Philips,David Gibb,John Campbell,,,,,,,,,,,
Rangers v Clydesdale 2 October 1875,Clydesdale,Challenge Match,Away Fixture (Venue TBC),Home,2,October,1875,1875-76,1-1,Draw,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,George Philips,James Watson,James Campbell,John Campbell,Peter Campbell,,,,,,,,,,,
Rangers v First Lanark Rifle Volunteers 16 October 1875,First Lanark Rifle Volunteers,Scottish Cup,Burnbank,Home,16,October,1875,1875-76,7-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,George Philips,James Watson,James Campbell,John Campbell,Peter Campbell,,,,,,,,,,,
Third Lanark v Rangers 30 October 1875,Third Lanark,Scottish Cup,First Cathkin Park,Away,30,October,1875,1875-76,1-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,George Philips,James Watson,James Campbell,John Campbell,Peter Campbell,,,,,,,,,,,
Havelock v Rangers 6 November 1875,Havelock,Challenge Match,Middleton Park,Away,6,November,1875,1875-76,4-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,W Watson,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,George Philips,James Watson,James Campbell,John Campbell,Peter Campbell,,,,,,,,,,,
Rangers v Third Lanark 13 November 1875,Third Lanark,Scottish Cup,Burnbank,Home,13,November,1875,1875-76,1-2,Lose,unknown - to be confirmed,2000,No Permanent Manager,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,James Watson,James Campbell,George Philips,W Douglas,,,,,,,,,,,
Queen's Park v Rangers 20 November 1875,Queen's Park,Challenge Match,First Hampden Park,Away,20,November,1875,1875-76,0-2,Lose,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,James Yuill,Tom Vallance,J Wight,William McBeath,William McNeil,Moses McNeil,Peter Campbell,George Philips,David Gibb,James Watson,James Campbell,,,,,,,,,,,
Caledonian v Rangers 25 December 1875,Caledonian,Challenge Match,Kelvin Bridge,Away,25,December,1875,1875-76,4-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,J Grant ,Tom Vallance,David Hill,Sam Ricketts,William McNeil,Moses McNeil,Peter Campbell,George Philips,David Gibb,James Watson,James Campbell,,,,,,,,,,,
Rangers v Lennox 19 February 1876,Lennox,Challenge Match,Burnbank,Home,19,February,1876,1875-76,0-1,Lose,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,Unknown or TBC,Tom Vallance,David Hill,Unknown or TBC,William McNeil,Unknown or TBC,Unknown or TBC,George Philips,David Gibb,James Watson,James Campbell,,,,,,,,,,,
Lennox v Rangers 11 March 1876,Lennox,Challenge Match,Dumbarton,Away,11,March,1876,1875-76,1-3,Lose,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,Tom Vallance,David Hill,William McNeil,Peter McNeil,Moses McNeil,Peter Campbell,James Watson,David Gibb,James Campbell,C Roche,,,,,,,,,,,
Rangers v Clydesdale 18 March 1876,Clydesdale,Challenge Match,Kinning Park,Home,18,March,1876,1875-76,0-0,Draw,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,Tom Vallance,David Hill,William McNeil,Peter McNeil,Moses McNeil,Peter Campbell,James Watson,David Gibb,James Campbell,C Roche,,,,,,,,,,,
Rangers v Vale of Leven 2 September 1876,Vale of Leven,Challenge Match,Kinning Park,Home,2,September,1876,1876-77,2-1,Win,unknown - to be confirmed,1500,No Permanent Manager,John Watt,Tom Vallance,David Hill,George Gillespie,William McNeil,James Campbell,Willie Dunlop,James Watson,Alex Marshall,Peter Campbell,Moses McNeil,,,,,,,,,,,
Rangers v Eastern 16 September 1876,Eastern,Challenge Match,Kinning Park,Home,16,September,1876,1876-77,0-2,Lose,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,Tom Vallance,David Hill,W Tait,William McNeil,James Campbell,Willie Dunlop,James Watson,Alex Marshall,Peter Campbell,Moses McNeil,,,,,,,,,,,
Vale of Leven v Rangers 23 September 1876,Vale of Leven,Challenge Match,Millburn Park,Away,23,September,1876,1876-77,0-4,Lose,unknown - to be confirmed,1000,No Permanent Manager,John Martin,Tom Vallance,David Hill,George Gillespie,William McNeil,James Campbell,Willie Dunlop,James Watson,Alex Marshall,Peter Campbell,Moses McNeil,,,,,,,,,,,
Rangers v Queen's Park Juniors 30 September 1876,Queen's Park Juniors,Scottish Cup,Kinning Park,Home,30,September,1876,1876-77,4-1,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Martin,Tom Vallance,David Hill,George Gillespie,William McNeil,James Campbell,Willie Dunlop,James Watson,Alex Marshall,Peter Campbell,Moses McNeil,,,,,,,,,,,
Rangers v Northern 7 October 1876,Northern,Challenge Match,Kinning Park,Home,7,October,1876,1876-77,3-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,Tom Vallance,David Hill,Sam Ricketts,William McNeil,George Gillespie,Willie Dunlop,James Watson,Alex Marshall,Peter Campbell,Moses McNeil,,,,,,,,,,,
Rangers v Lennox 14 October 1876,Lennox,Challenge Match,Kinning Park,Home,14,October,1876,1876-77,0-0,Draw,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,Tom Vallance,Unknown or TBC,Sam Ricketts,Unknown or TBC,Unknown or TBC,Willie Dunlop,James Watson,Alex Marshall,Peter Campbell,Moses McNeil,,,,,,,,,,,
Towerhill v Rangers 21 October 1876,Towerhill,Scottish Cup,Springburn,Away,21,October,1876,1876-77,8-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,Peter McNeil,Willie Dunlop,James Watson,David Hill,Alex Marshall,Peter Campbell,Moses McNeil,,,,,,,,,,,
Rangers v Rovers 28 October 1876,Rovers,Challenge Match,Kinning Park,Home,28,October,1876,1876-77,4-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Moses McNeil,Alex Marshall,Willie Dunlop,David Hill,C Roche,W Douglas,,,,,,,,,,,
Rangers v Eastern 4 November 1876,Eastern,Challenge Match,Kinning Park,Home,4,November,1876,1876-77,7-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Archibald Steel,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,
Rangers v Alexandria Athletic 18 November 1876,Alexandria Athletic,Challenge Match,Kinning Park,Home,18,November,1876,1876-77,5-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Peter Campbell,Moses McNeil,Willie Dunlop,Alex Marshall,James Watson,David Hill,,,,,,,,,,,
Rangers v Queen's Park 25 November 1876,Queen's Park,Challenge Match,Kinning Park,Home,25,November,1876,1876-77,0-1,Lose,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Willie Dunlop,David Hill,Alex Marshall,James Watson,Peter Campbell,Moses McNeil,,,,,,,,,,,
Mauchline v Rangers 9 December 1876,Mauchline,Scottish Cup,Connel Park (Ayrshire),Away,9,December,1876,1876-77,3-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,James Campbell,Willie Dunlop,David Hill,Alex Marshall,James Watson,Peter Campbell,Moses McNeil,,,,,,,,,,,
Rangers v Partick 16 December 1876,Partick,Challenge Match,Kinning Park,Home,16,December,1876,1876-77,8-1,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,R Kerr,George Gillespie,Sam Ricketts,Unknown or TBC,Willie Dunlop,David Hill,Alex Marshall,W Primrose,Peter Campbell,Moses McNeil,,,,,,,,,,,
Lennox v Rangers 30 December 1876,Lennox,Scottish Cup,Dumbarton,Away,30,December,1876,1876-77,3-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Willie Dunlop,James Watson,David Hill,Alex Marshall,Peter Campbell,Moses McNeil,,,,,,,,,,,
Caledonian v Rangers 6 January 1877,Caledonian,Challenge Match,Kelvin Bridge,Away,6,January,1877,1876-77,5-1,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,R Kerr,George Gillespie,Sam Ricketts,William McNeil,Willie Dunlop,James Campbell,David Hill,Alex Marshall,Peter Campbell,Moses McNeil,,,,,,,,,,,
Northern v Rangers 13 January 1877,Northern,Challenge Match,Hydepark,Away,13,January,1877,1876-77,4-3,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Willie Dunlop,James Watson,David Hill,Alex Marshall,Peter Campbell,Moses McNeil,,,,,,,,,,,
Rangers v Caledonian 12 February 1877,Caledonian,Challenge Match,Kinning Park,Home,12,February,1877,1876-77,4-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,R Kerr,George Gillespie,Sam Ricketts,William McNeil,Willie Dunlop,David Hill,Alex Marshall,James Watson,Peter Campbell,Moses McNeil,,,,,,,,,,,
Rangers v Havelock 10 March 1877,Havelock,Challenge Match,Kinning Park,Home,10,March,1877,1876-77,8-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Willie Dunlop,David Hill,Alex Marshall,James Watson,Peter Campbell,Moses McNeil,,,,,,,,,,,
Rangers v Vale of Leven 17 March 1877,Vale of Leven,Scottish Cup,Hamilton Crescent (N Venue),Neutral,17,March,1877,1876-77,1-1,Draw,James Kerr,8000,No Permanent Manager,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Willie Dunlop,David Hill,Alex Marshall,James Watson,Peter Campbell,Moses McNeil,,,,,,,,,,,
Partick v Rangers 24 March  1877,Partick,Challenge Match,Meadowside,Away,24,March ,1877,1876-77,4-0,Win,,,No Permanent Manager,James Watt,George Gillespie,R Kerr,W McNeil,S Ricketts,P Campbell,A Marshall,W Dunlop,M McNeil,J Rankine,D Hill,,,,,,,,,,,
Clydesdale v Rangers 31 March 1877,Clydesdale,Challenge Match,Titwood Park,Away,31,March,1877,1876-77,3-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Willie Dunlop,David Hill,Alex Marshall,James Watson,Peter Campbell,Moses McNeil,,,,,,,,,,,
Rangers v Vale of Leven 7 April 1877,Vale of Leven,Scottish Cup,Hamilton Crescent (N Venue),Neutral,7,April,1877,1876-77,1-1,Draw,James Kerr,8000,No Permanent Manager,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Willie Dunlop,David Hill,Alex Marshall,James Watson,Peter Campbell,Moses McNeil,,,,,,,,,,,
Rangers v Vale of Leven 13 April 1877,Vale of Leven,Scottish Cup,First Hampden Park (Neutral Venue),Neutral,13,April,1877,1876-77,2-3,Lose,unknown - to be confirmed,10000,No Permanent Manager,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Willie Dunlop,David Hill,Alex Marshall,James Watson,Peter Campbell,Moses McNeil,,,,,,,,,,,
Queen's Park v Rangers 28 April 1877,Queen's Park,Glasgow Merchants Charity Cup,First Hampden Park,Away,28,April,1877,1876-77,0-4,Lose,unknown - to be confirmed,10000,No Permanent Manager,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Peter Campbell,W Douglas,James Watson,David Hill,Alex Marshall,Moses McNeil,,,,,,,,,,,
Ayr Thistle v Rangers 12 May 1877,Ayr Thistle,Challenge Match,Thistle Park or Robbsland Park,Away,12,May,1877,1876-77,2-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,Tom Vallance,George Gillespie,Sam Ricketts,William McNeil,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Peter Campbell,Moses McNeil,,,,,,,,,,,
Portland & Winton (Kilmarnock) v Rangers 19 May 1877,Portland & Winton (Kilmarnock),Challenge Match,Newmilns,Away,19,May,1877,1876-77,4-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,James Campbell,James Watson,Unknown or TBC,Peter Campbell,Unknown or TBC,,,,,,,,,,,
Irvine v Rangers 24 May 1877,Irvine,Challenge Match,Away Fixture (Venue TBC),Away,24,May,1877,1876-77,7-1,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,
Beith v Rangers 25 August 1877,Beith,Challenge Match,Away Fixture (Venue TBC),Away,25,August,1877,1877-78,2-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,David Hill,Tom Vallance,George Gillespie,Sam Ricketts,Hugh McIntyre,Willie Dunlop,James Campbell,McDonnel,Alex Marshall,Moses McNeil,Peter Campbell,,,,,,,,,,,
Rangers v Ayr Thistle 1 September 1877,Ayr Thistle,Challenge Match,Kinning Park,Home,1,September,1877,1877-78,4-2,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,Tom Vallance,George Gillespie,Hugh McIntyre,R Kerr,Willie Dunlop,James Campbell,Alex Marshall,David Hill,Moses McNeil,Peter Campbell,,,,,,,,,,,
Rangers v Parkgrove 15 September 1877,Parkgrove,Challenge Match,Kinning Park,Home,15,September,1877,1877-78,5-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,Tom Vallance,Hugh McIntyre,Willie Dunlop,Sam Ricketts,David Hill,James Campbell,Alex Marshall,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,
Rangers v South Western 22 September 1877,South Western,Challenge Match,Kinning Park,Home,22,September,1877,1877-78,3-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,Tom Vallance,Hugh McIntyre,Willie Dunlop,Sam Ricketts,David Hill,James Campbell,Alex Marshall,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,
Rangers v Vale of Leven 29 September 1877,Vale of Leven,Challenge Match,Kinning Park,Home,29,September,1877,1877-78,5-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,Tom Vallance,Willie Dunlop,Hugh McIntyre,Sam Ricketts,David Hill,James Campbell,Alex Marshall,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,
Rangers v Possilpark 6 October 1877,Possilpark,Scottish Cup,Kinning Park,Home,6,October,1877,1877-78,13-0,Win,unknown - to be confirmed,unknown - to be confirmed,No Permanent Manager,John Watt,Tom Vallance,Willie Dunlop,Hugh McIntyre,Sam Ricketts,David Hill,James Campbell,Alex Marshall,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,
Kilmarnock Portland v Rangers 13 October 1877,Kilmarnock Portland,Challenge Match,Kilmarnock,Away,13,October,1877,1877-78,8-3,Win,unknown - to be confirmed,1500,No Permanent Manager,Unknown or TBC,Tom Vallance,Hugh McIntyre,Unknown or TBC,Sam Ricketts,David Hill,James Campbell,Unknown or TBC,James Watson,Moses McNeil,Peter Campbell,,,,,,,,,,,
