Title,Opponent,Competition,Venue,Home/Away/Neutral,Day,Month,Year,Tag Season,Score (Rangers First),Win/Lose/Draw,Referee:,Crowd,Manager,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22
Athletico Mineiro v Rangers 17 January 1999,Athletico Mineiro,Challenge Match,Miami Orange Bowl,Away,17,January,1999,1998 - 99,2-2,Draw,unknown - to be confirmed,3000,Dick Advocaat,Stefan Klos,Tony Vidmar,Staale Stensaas,Lorenzo Amoruso,Colin Hendry,Jorge Albertz,Andrei Kanchelskis,Ian Ferguson,Rod Wallace,Stephane Guivarc'h,Neil McCann,Gabriel Amato,Giovanni Van Bronckhorst,Barry Ferguson,Jonathon Johansson,Scott Wilson,Lee Feeney,,,,,
Rangers v Stenhousemuir 23 January 1999,Stenhousemuir,Scottish Cup,Ibrox Stadium,Home,23,January,1999,1998 - 99,2-0,Win,M Clark (Edinburgh),37759,Dick Advocaat,Stefan Klos,Sergio Porrini,Tony Vidmar,Scott Wilson,Colin Hendry,Jorge Albertz,Andrei Kanchelskis,Charlie Miller,Stephane Guivarc'h,Rod Wallace,Neil McCann,Giovanni Van Bronckhorst,Ian Ferguson,Gabriel Amato,,,,,,,,
Dundee v Rangers 27 January 1999,Dundee,League,Tannadice,Away,27,January,1999,1998 - 99,4-0,Win,J McCluskey (Stewarton),9453,Dick Advocaat,Stefan Klos,Sergio Porrini,Lorenzo Amoruso,Andrei Kanchelskis,Tony Vidmar,Barry Nicholson,Rod Wallace,Neil McCann,Stephane Guivarc'h,Jorge Albertz,Charlie Miller,Jonathon Johansson,Lee Feeney,,,,,,,,,
Aberdeen v Rangers 30 January 1999,Aberdeen,League,Pittodrie,Away,30,January,1999,1998 - 99,4-2,Win,K Clark (Paisley),19537,Dick Advocaat,Stefan Klos,Sergio Porrini,Lorenzo Amoruso,Andrei Kanchelskis,Giovanni Van Bronckhorst,Jorge Albertz,Stephane Guivarc'h,Rod Wallace,Neil McCann,Scott Wilson,Tony Vidmar,Charlie Miller,Barry Nicholson,Jonathon Johansson,,,,,,,,
Dunfermline Athletic v Rangers 7 February 1999,Dunfermline Athletic,League,East End Park,Away,7,February,1999,1998 - 99,3-0,Win,W Young (Clarkston),11500,Dick Advocaat,Stefan Klos,Sergio Porrini,Lorenzo Amoruso,Barry Ferguson,Andrei Kanchelskis,Giovanni Van Bronckhorst,Jorge Albertz,Rod Wallace,Jonathon Johansson,Barry Nicholson,Tony Vidmar,Neil McCann,,,,,,,,,,
Hamilton Acas v Rangers 14 February 1999,Hamilton Acas,Scottish Cup,Firhill ,Away,14,February,1999,1998 - 99,6-0,Win,M McCurry (Glasgow),7339,Dick Advocaat,Stefan Klos,Sergio Porrini,Lorenzo Amoruso,Tony Vidmar,Barry Ferguson,Giovanni Van Bronckhorst,Andrei Kanchelskis,Neil McCann,Jorge Albertz,Rod Wallace,Jonathon Johansson,Scott Wilson,Charlie Miller,Stephane Guivarc'h,,,,,,,,
Rangers v Dundee 20 February 1999,Dundee,League,Ibrox Stadium,Home,20,February,1999,1998 - 99,6-1,Win,D Smith,49462,Dick Advocaat,Stefan Klos,Sergio Porrini,Lorenzo Amoruso,Tony Vidmar,Andrei Kanchelskis,Barry Ferguson,Giovanni Van Bronckhorst,Jorge Albertz,Neil McCann,Rod Wallace,Jonathon Johansson,Charlie Miller,Gabriel Amato,Stephane Guivarc'h,,,,,,,,
Kilmarnock v Rangers 28 February 1999,Kilmarnock,League,Rugby Park,Away,28,February,1999,1998 - 99,5-0,Win,S Dougal (Burnside),16242,Dick Advocaat,Stefan Klos,Sergio Porrini,Lorenzo Amoruso,Tony Vidmar,Andrei Kanchelskis,Barry Ferguson,Giovanni Van Bronckhorst,Jorge Albertz,Neil McCann,Stephane Guivarc'h,Rod Wallace,Jonathon Johansson,Barry Nicholson,Colin Hendry,,,,,,,,
Rangers v Middlesbrough 2 March 1999,Middlesbrough,Challenge Match,Ibrox Stadium,Home,2,March,1999,1998 - 99,4-4,Draw,J Herald (Newton Mearns),49468,Dick Advocaat,Stefan Klos,Barry Nicholson,Stuart Pearce,Scott Wilson,Colin Hendry,Ray Wilkins,Andrei Kanchelskis,Charlie Miller,Gabriel Amato,Robbie Fowler,Giovanni Van Bronckhorst,Stephane Guivarc'h,Rod Wallace,Paul Gascoigne,Tony Vidmar,Derek McInnes,Stuart Pearce,Antti Niemi,Jonathon Johansson,,,
Rangers v Falkirk 7 March 1999,Falkirk,Scottish Cup,Ibrox Stadium,Home,7,March,1999,1998 - 99,2-1,Win,J Rowbotham (Kirkcaldy),39250,Dick Advocaat,Stefan Klos,Sergio Porrini,Lorenzo Amoruso,Tony Vidmar,Barry Ferguson,Andrei Kanchelskis,Giovanni Van Bronckhorst,Jorge Albertz,Stephane Guivarc'h,Rod Wallace,Neil McCann,Jonathon Johansson,Gabriel Amato,Scott Wilson,,,,,,,,
Rangers v Motherwell 13 March 1999,Motherwell,League,Ibrox Stadium,Home,13,March,1999,1998 - 99,2-1,Win,R Orr (Kilbarchan),49483,Dick Advocaat,Stefan Klos,Sergio Porrini,Lorenzo Amoruso,Tony Vidmar,Andrei Kanchelskis,Barry Ferguson,Jorge Albertz,Giovanni Van Bronckhorst,Neil McCann,Rod Wallace,Jonathon Johansson,Charlie Miller,Derek McInnes,Gabriel Amato,,,,,,,,
Rangers v Dundee Utd 20 March 1999,Dundee Utd,League,Ibrox Stadium,Home,20,March,1999,1998 - 99,0-1,Lose,M Clark (Edinburgh),49164,Dick Advocaat,Stefan Klos,Sergio Porrini,Lorenzo Amoruso,Scott Wilson,Tony Vidmar,Andrei Kanchelskis,Giovanni Van Bronckhorst,Jorge Albertz,Neil McCann,Rod Wallace,Jonathon Johansson,Gabriel Amato,Charlie Miller,,,,,,,,,
Raith Rovers v Rangers 24 March 1999,Raith Rovers,Challenge Match,Stark's Park (Kirkcaldy),Away,24,March,1999,1998 - 99,0-1,Lose,J Underhill (Edinburgh),4815,Dick Advocaat,Stefan Klos,Sergio Porrini,Tony Vidmar,Lorenzo Amoruso,Derek McInnes,Jorge Albertz,Andrei Kanchelskis,Charlie Miller,Gabriel Amato,Giovanni Van Bronckhorst,Stephen Carson,Bob Malcolm,Rod Wallace,Jimmy Gibson,Paul McKnight,Luigi Riccio,,,,,,
St Johnstone v Rangers 4 April 1999,St Johnstone,League,McDiarmid Park,Away,4,April,1999,1998 - 99,1-3,Lose,H Dallas (Bonkle),9740,Dick Advocaat,Stefan Klos,Sergio Porrini,Craig Moore,Lorenzo Amoruso,Tony Vidmar,Andrei Kanchelskis,Giovanni Van Bronckhorst,Rod Wallace,Jonathon Johansson,Jorge Albertz,Neil McCann,Gabriel Amato,,,,,,,,,,
