Title,Opponent,Competition,Home/Away/Neutral,Day,Month,Year,Tag Season,Score (Rangers First),Win/Lose/Draw,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,,,,,,,,,,,,,,,,,
Rangers v Morton 28 November 1903,Morton,League,Home,28,November,1903,1903-04,5-0,Win,Matthew Dickie,Nicol Smith,Jock Drummond,George Henderson,Bobby Neil,James Stark,James Hartley,Finlay Speedie,Robert C. Hamilton,John Walker,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilmarnock v Rangers 5 December 1903,Kilmarnock,League,Away,5,December,1903,1903-04,2-2,Draw,Matthew Dickie,Nicol Smith,Jock Drummond,James Stark,Bobby Neil,George Henderson,John Gray,Finlay Speedie,Alec Mackie,John Walker,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Motherwell 12 December 1903,Motherwell,League,Home,12,December,1903,1903-04,3-0,Win,John Watson,Nicol Smith,Alex Fraser,George Henderson,James Stark,Neilly Gibson,James Hartley,Alec Mackie,Robert C. Hamilton,Finlay Speedie,John Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Glasgow Athletic v Rangers 19 December 1903,Port Glasgow Athletic,League,Away,19,December,1903,1903-04,1-1,Draw,John Watson,Nicol Smith,Jock Drummond,Neilly Gibson,James Stark,John Robertson,James Hartley,Alec Mackie,Robert C. Hamilton,John Walker,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bury v Rangers 25 December 1903,Bury,Challenge Match,Away,25,December,1903,1903-04,1-2,Lose,Matthew Dickie,Unknown or TBC,Alex Fraser,George Henderson,James Stark,Unknown or TBC,John Walker,Alec Mackie,Robert C. Hamilton,Unknown or TBC,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hibs v Rangers 26 December 1903,Hibs,League,Away,26,December,1903,1903-04,2-1,Win,Matthew Dickie,Nicol Smith,Jock Drummond,George Henderson,James Stark,John Robertson,Neilly Gibson,Alec Mackie,Robert C. Hamilton,Finlay Speedie,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celtic v Rangers 1 January 1904,Celtic,League,Away,1,January,1904,1903-04,2-2,Draw,John Watson,Nicol Smith,Jock Drummond,George Henderson,James Stark,John Robertson,John Walker,Alec Mackie,Robert C. Hamilton,Finlay Speedie,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Partick Thistle 2 January 1904,Partick Thistle,League,Home,2,January,1904,1903-04,2-0,Win,John Watson,Nicol Smith,Alex Fraser,Neilly Gibson,James Stark,John Robertson,Charles Chalk,Thomas Paton,Robert C. Hamilton,John Walker,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Bury 4 January 1904,Bury,Challenge Match,Home,4,January,1904,1903-04,1-2,Lose,William Allan,Baxter,Alex Fraser,George Henderson,Bobby Neil,John Robertson,Charles Chalk,Thomas Paton,Robert C. Hamilton,John Walker,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Third Lanark 5 January 1904,Third Lanark,Challenge Match,Home,5,January,1904,1903-04,7-2,Win,Matthew Dickie,George Gilchrist,James Kerr,Adam Gourlay,Bobby Neil,Duncan Campbell,John Robertson,Frank Lloyd,Alec Mackie,Robey,Charles Donaghy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Mirren v Rangers 9 January 1904,St Mirren,League,Away,9,January,1904,1903-04,4-5,Lose,Matthew Dickie,Nicol Smith,Alex Fraser,George Henderson,James Stark,Neilly Gibson,John Walker,Alec Mackie,Robert C. Hamilton,Charles Donaghy,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Kilmarnock 16 January 1904,Kilmarnock,League,Home,16,January,1904,1903-04,3-0,Win,John Watson,Nicol Smith,Jock Drummond,George Henderson,James Stark,John Robertson,Charles Chalk,Alec Mackie,Robert C. Hamilton,Finlay Speedie,Charles Donaghy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hearts 23 January 1904,Hearts,Scottish Cup,Home,23,January,1904,1903-04,3-2,Win,John Watson,Nicol Smith,Alex Fraser,George Henderson,James Stark,John Robertson,John Walker,Alec Mackie,Robert C. Hamilton,Finlay Speedie,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hearts v Rangers 30 January 1904,Hearts,League,Away,30,January,1904,1903-04,1-2,Lose,John Watson,Duncan Campbell,Alex Fraser,George Henderson,Bobby Neil,Neilly Gibson,John Walker,Alec Mackie,Robert C. Hamilton,Finlay Speedie,Charles Donaghy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hibs v Rangers 6 February 1904,Hibs,Scottish Cup,Away,6,February,1904,1903-04,2-1,Win,John Watson,Nicol Smith,Alex Fraser,George Henderson,James Stark,John Robertson,John Walker,Alec Mackie,Robert C. Hamilton,Finlay Speedie,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Port Glasgow Athletic 13 February 1904,Port Glasgow Athletic,League,Home,13,February,1904,1903-04,8-1,Win,Matthew Dickie,Nicol Smith,Alex Fraser,Neilly Gibson,Duncan Campbell,John Robertson,Charles Chalk,Finlay Speedie,Robert C. Hamilton,Charles Donaghy,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Mirren v Rangers 20 February 1904,St Mirren,Scottish Cup,Away,20,February,1904,1903-04,1-0,Win,John Watson,Nicol Smith,Alex Fraser,George Henderson,James Stark,John Robertson,John Walker,Alec Mackie,Robert C. Hamilton,Finlay Speedie,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton v Rangers 27 February 1904,Hamilton,Challenge Match,Away,27,February,1904,1903-04,3-2,Win,Matthew Dickie,Alex Fraser,Jock Drummond,George Henderson,James Stark,Neilly Gibson,Charles Chalk,Finlay Speedie,Alex Mackie,Charles Donnachie,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Morton 5 March 1904,Morton,Scottish Cup,Home,5,March,1904,1903-04,3-0,Win,John Watson,Nicol Smith,Alex Fraser,George Henderson,James Stark,John Robertson,John Walker,Alec Mackie,Robert C. Hamilton,Finlay Speedie,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen's Park v Rangers 12 March 1904,Queen's Park,Inter-City League,Away,12,March,1904,1903-04,0-2,Lose,John Watson,Nicol Smith,Alex Fraser,George Henderson,James Stark,Neilly Gibson,Frank Lloyd,Finlay Speedie,Alec Mackie,William Gibson,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hearts v Rangers 19 March 1904,Hearts,Inter-City League,Away,19,March,1904,1903-04,0-1,Lose,John Watson,Nicol Smith,Alex Fraser,George Henderson,James Stark,John Robertson,John Walker,Alec Mackie,Robert C. Hamilton,Finlay Speedie,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Airdrie 26 March 1904,Airdrie,League,Home,26,March,1904,1903-04,5-0,Win,John Watson,Nicol Smith,Alex Fraser,Duncan Campbell,James Stark,Finlay Speedie,Charles Chalk,Alec Mackie,Thomas Paton,John Finlay,Charles Donaghy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee v Rangers 2 April 1904,Dundee,Inter-City League,Away,2,April,1904,1903-04,1-3,Lose,John Watson,John Lorimer,Alex Fraser,George Henderson,William McGraw,James Stark,Charles Chalk,Alec Mackie,Thomas Paton,Finlay Speedie,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v St Mirren 4 April 1904,St Mirren,Inter-City League,Home,4,April,1904,1903-04,1-2,Lose,John Watson,Nicol Smith,Jock Drummond,George Henderson,William McGraw,James Stark,Charles Chalk,Alec Mackie,Finlay Speedie,John Finlay,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glentoran  v Rangers 9 April 1904,Glentoran ,Challenge Match,Away,9,April,1904,1903-04,3-0,Win,John Watson,Nicol Smith,Alex Fraser,George Henderson,James Stark,William McGraw,Charles Chalk,Alec Mackie,Thomas Paton,Finlay Speedie,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Celtic 16 April 1904,Celtic,Scottish Cup,Neutral,16,April,1904,1903-04,2-3,Lose,John Watson,Nicol Smith,Jock Drummond,George Henderson,James Stark,John Robertson,John Walker,Finlay Speedie,Alec Mackie,Charles Donaghy,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hibs v Rangers 18 April 1904,Hibs,Inter-City League,Away,18,April,1904,1903-04,0-3,Lose,Matthew Dickie,Duncan Campbell,John Lorimer,James Stark,William McGraw,Neilly Gibson,Charles Chalk,John Robertson,Thomas Paton,Charles Donaghy,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen's Park v Rangers 20 April 1904,Queen's Park,Challenge Match,Away,20,April,1904,1903-04,2-2,Draw,John Watson,Unknown or TBC,Duncan Campbell,George Henderson,William Dunlop,James Stark,Clark,John Finlay,Finlay Speedie,Alec Mackie,Charles Donaghy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partick Thistle v Rangers 23 April 1904,Partick Thistle,Inter-City League,Away,23,April,1904,1903-04,1-1,Draw,John Watson,Nicol Smith,Unknown or TBC,George Henderson,William McGraw,Neilly Gibson,Charles Chalk,Alec Mackie,Finlay Speedie,Charles Donaghy,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yoker Athletic v Rangers 25 April 1904,Yoker Athletic,Challenge Match,Away,25,April,1904,1903-04,3-0,Win,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Newcastle Utd 27 April 1904,Newcastle Utd,Challenge Match,Home,27,April,1904,1903-04,2-0,Win,John Watson,W Speedie,George Gilchrist,George Henderson,James Stark,Neilly Gibson,Alec Mackie,Charles Donaghy,Thomas Paton,Bolton,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celtic v Rangers 30 April 1904,Celtic,Inter-City League,Away,30,April,1904,1903-04,0-2,Lose,Matthew Dickie,Unknown or TBC,Unknown or TBC,George Henderson,Unknown or TBC,Neilly Gibson,Unknown or TBC,Alec Mackie,Thomas Paton,Unknown or TBC,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Partick Thistle 3 May 1904,Partick Thistle,Challenge Match,Home,3,May,1904,1903-04,5-1,Win,John Watson,Duncan Campbell,Govan,Adam Gourlay,James Stark,John Robertson,John Walker,Alec Mackie,Finlay Speedie,George Gilchrist,Charles Donaghy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Third Lanark 7 May 1904,Third Lanark,Glasgow Merchants Charity Cup,Neutral,7,May,1904,1903-04,1-0,Win,John Watson,Nicol Smith,Alex Fraser,George Henderson,James Stark,John Robertson,John Walker,Alec Mackie,Robert C. Hamilton,Finlay Speedie,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Third Lanark 10 May 1904,Third Lanark,Inter-City League,Home,10,May,1904,1903-04,4-1,Win,Matthew Dickie,Nicol Smith,Alex Fraser,George Henderson,James Stark,Neilly Gibson,Unknown or TBC,John Finlay,Alec Mackie,Unknown or TBC,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkirk v Rangers 11 May 1904,Falkirk,Challenge Match,Away,11,May,1904,1903-04,6-3,Win,William Allan,George Gilchrist,Jock Drummond,Adam Gourlay,James Stark,Duncan Campbell,William Gibson,John Robertson,Finlay Speedie,James Kerr,Charles Chalk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Celtic 14 May 1904,Celtic,Glasgow Merchants Charity Cup,Neutral,14,May,1904,1903-04,5-2,Win,John Watson,Nicol Smith,Alex Fraser,George Henderson,James Stark,Duncan Campbell,Charles Donaghy,Alec Mackie,Finlay Speedie,John Robertson,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Vienna v Rangers 22 May 1904,First Vienna,Challenge Match,Away,22,May,1904,1903-04,7-2,Win,John Watson,Nicol Smith,Alex Fraser,George Henderson,James Stark,John Robertson,John Walker,Alex Mackie,Robert C. Hamilton,Finlay Speedie,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boldklubben 93 v Rangers 23 May 1904,Boldklubben 93,Challenge Match,Away,23,May,1904,1903-04,9-0,Win,John Watson,Nicol Smith,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Finlay Speedie,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boldklubben 93 v Rangers 26 May 1904,Boldklubben 93,Challenge Match,Away,26,May,1904,1903-04,5-3,Win,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vienna S-C v Rangers 29 May 1904,Vienna S-C,Challenge Match,Away,29,May,1904,1903-04,8-0,Win,John Watson,Nicol Smith,Alex Fraser,George Henderson,James Stark,John Robertson,John Walker,Alex Mackie,Robert C. Hamilton,Finlay Speedie,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prague Select v Rangers 03 June 1904,Prague Select,Challenge Match,Away,03,June,1904,1903-04,6-1,Win,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F.K. Prague v Rangers 05 June 1904,F.K. Prague,Challenge Match,Away,05,June,1904,1903-04,5-0,Win,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airdrie v Rangers 15 August 1904,Airdrie,Challenge Match,Away,15,August,1904,1904-05,1-2,Lose,William Allan,Andrew Easton,George Gilchrist,George Henderson,James Stark,Adam Gourlay,John Walker,Alec Mackie,James Turnbull,Finlay Speedie,Charles Donaghy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hibs 17 August 1904,Hibs,Challenge Match,Home,17,August,1904,1904-05,2-0,Win,William Allan,Alex Fraser,George Gilchrist,George Henderson,John May,John Robertson,James Turnbull,Finlay Speedie,Alec Mackie,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Third Lanark v Rangers 20 August 1904,Third Lanark,League,Away,20,August,1904,1904-05,1-2,Lose,William Allan,Alex Fraser,George Gilchrist,George Henderson,John May,John Robertson,Archie Kyle,Alec Mackie,Robert C. Hamilton,Finlay Speedie,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Celtic 24 August 1904,Celtic,Challenge Match,Home,24,August,1904,1904-05,1-0,Win,William Allan,Andrew Easton,Alex Fraser,George Henderson,James Stark,John May,Alec Mackie,Finlay Speedie,John Robertson,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hibs 27 August 1904,Hibs,League,Home,27,August,1904,1904-05,4-0,Win,William Allan,Nicol Smith,Alex Fraser,John May,James Stark,John Robertson,Robert C. Hamilton,Finlay Speedie,Alec Mackie,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Partick Thistle 3 September 1904,Partick Thistle,League,Home,3,September,1904,1904-05,8-1,Win,William Allan,Nicol Smith,Alex Fraser,George Henderson,James Stark,John May,Alec Mackie,Finlay Speedie,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumnock District v Rangers 8 September 1904,Cumnock District,Challenge Match,Away,8,September,1904,1904-05,4-1,Win,Robertson,Nicol Smith,Alex Fraser,Neilly Gibson,John May,Charles Chalk,Adam Gourlay,Charles Donnachie,Robert S McColl,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee v Rangers 10 September 1904,Dundee,League,Away,10,September,1904,1904-05,3-0,Win,William Allan,Nicol Smith,Alex Fraser,John May,James Stark,John Robertson,Alec Mackie,Finlay Speedie,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queen's Park v Rangers 17 September 1904,Queen's Park,League,Away,17,September,1904,1904-05,4-0,Win,William Allan,Andrew Easton,Alex Fraser,John May,Finlay Speedie,John Robertson,Alec Mackie,Archie Kyle,Robert C. Hamilton,Robert S McColl,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hibs v Rangers 19 September 1904,Hibs,League,Away,19,September,1904,1904-05,2-1,Win,William Allan,Nicol Smith,Alex Fraser,John May,Finlay Speedie,John Robertson,Charles Donaghy,Archie Kyle,Robert C. Hamilton,Robert S McColl,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Third Lanark 24 September 1904,Third Lanark,Glasgow Cup,Home,24,September,1904,1904-05,3-0,Win,William Allan,Nicol Smith,Alex Fraser,John May,Finlay Speedie,John Robertson,Alec Mackie,Archie Kyle,Robert C. Hamilton,Robert S McColl,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Hearts 26 September 1904,Hearts,League,Home,26,September,1904,1904-05,1-1,Draw,William Allan,Nicol Smith,Alex Fraser,George Henderson,John Robertson,John May,Alec Mackie,Finlay Speedie,Robert S McColl,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v St Mirren 1 October 1904,St Mirren,League,Home,1,October,1904,1904-05,2-3,Lose,William Allan,Nicol Smith,Alex Fraser,George Henderson,Finlay Speedie,John Robertson,John Walker,Alec Mackie,James Turnbull,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Celtic 8 October 1904,Celtic,Glasgow Cup,Neutral,8,October,1904,1904-05,1-2,Lose,William Allan,Nicol Smith,Alex Fraser,John May,Finlay Speedie,John Robertson,Alec Mackie,Archie Kyle,Robert C. Hamilton,Robert S McColl,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celtic v Rangers 15 October 1904,Celtic,League,Away,15,October,1904,1904-05,2-2,Draw,John Watson,Nicol Smith,Alex Fraser,George Henderson,Finlay Speedie,John May,John Walker,Alec Mackie,Robert C. Hamilton,Robert S McColl,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Queen's Park 22 October 1904,Queen's Park,League,Home,22,October,1904,1904-05,5-0,Win,John Watson,Nicol Smith,Finlay Speedie,George Henderson,Adam Gourlay,John May,John Walker,Alec Mackie,Robert C. Hamilton,Robert S McColl,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Dundee 29 October 1904,Dundee,League,Home,29,October,1904,1904-05,2-1,Win,Tom Sinclair,Nicol Smith,Andrew Easton,George Henderson,Finlay Speedie,John May,John Walker,Alec Mackie,Robert S McColl,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hearts v Rangers 5 November 1904,Hearts,League,Away,5,November,1904,1904-05,5-0,Win,Tom Sinclair,Nicol Smith,Alex Fraser,George Henderson,Finlay Speedie,John May,John Walker,Alec Mackie,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Mirren v Rangers 12 November 1904,St Mirren,League,Away,12,November,1904,1904-05,0-3,Lose,Tom Sinclair,Nicol Smith,John Robertson,George Henderson,Finlay Speedie,John May,Alec Mackie,Archie Kyle,Robert C. Hamilton,Robert S McColl,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Third Lanark 19 November 1904,Third Lanark,League,Home,19,November,1904,1904-05,3-1,Win,Tom Sinclair,Nicol Smith,Adam Gourlay,George Henderson,James Stark,John May,John Walker,Finlay Speedie,Alec Mackie,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kilmarnock v Rangers 3 December 1904,Kilmarnock,League,Away,3,December,1904,1904-05,4-0,Win,Tom Sinclair,Andrew Easton,Robert McEwan,John May,James Stark,John Robertson,Alec Mackie,Finlay Speedie,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Motherwell v Rangers 10 December 1904,Motherwell,League,Away,10,December,1904,1904-05,2-0,Win,Tom Sinclair,Andrew Easton,Robert McEwan,George Henderson,James Stark,John Robertson,Alec Mackie,Finlay Speedie,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Airdrie 17 December 1904,Airdrie,League,Home,17,December,1904,1904-05,4-1,Win,Tom Sinclair,Andrew Easton,Robert McEwan,Adam Gourlay,James Stark,John Robertson,Alec Mackie,Finlay Speedie,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preston North End v Rangers 24 December 1904,Preston North End,Challenge Match,Away,24,December,1904,1904-05,3-3,Draw,Tom Sinclair,Andrew Easton,Alex Fraser,George Henderson,James Stark,John May,John Walker,Finlay Speedie,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradford City v Rangers 26 December 1904,Bradford City,Challenge Match,Away,26,December,1904,1904-05,1-1,Draw,Tom Sinclair,Alex Fraser,Andrew Easton,John May,James Stark,George Henderson,Charles Donnachie,Finlay Speedie,Robert S McColl,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airdrie v Rangers 31 December 1904,Airdrie,League,Away,31,December,1904,1904-05,2-2,Draw,Tom Sinclair,Andrew Easton,Robert McEwan,John May,Finlay Speedie,John Robertson,John Walker,Alec Mackie,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partick Thistle v Rangers 3 January 1905,Partick Thistle,League,Away,3,January,1905,1904-05,4-1,Win,Tom Sinclair,Andrew Easton,Robert McEwan,George Henderson,John May,John Robertson,John Walker,Finlay Speedie,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Queen's Park 4 January 1905,Queen's Park,Challenge Match,Home,4,January,1905,1904-05,1-1,Draw,Tom Sinclair,Alex Fraser,Alec Craig,George Henderson,Adam Gourlay,John May,Thomas Fitchie,John Robertson,Robert S McColl,John Walker,Charles Donaghy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Counties v Rangers 7 January 1905,Southern Counties,Challenge Match,Away,7,January,1905,1904-05,2-3,Lose,Tom Sinclair,Alex Fraser,Adam Gourlay,John May,James Stark,John Robertson,John Walker,Finlay Speedie,Robert S McColl,Archie Kyle,Charles Donnachie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Motherwell 14 January 1905,Motherwell,League,Home,14,January,1905,1904-05,3-2,Win,Tom Sinclair,Andrew Easton,Robert McEwan,George Henderson,John May,John Robertson,Alec Mackie,Finlay Speedie,Robert S McColl,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Ayr Parkhouse 28 January 1905,Ayr Parkhouse,Scottish Cup,Home,28,January,1905,1904-05,2-1,Win,Tom Sinclair,Duncan Campbell,Robert McEwan,John May,James Stark,John Robertson,John Chalmers,Alec Mackie,Robert S McColl,Finlay Speedie,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Glasgow Athletic v Rangers 4 February 1905,Port Glasgow Athletic,League,Away,4,February,1905,1904-05,3-0,Win,Tom Sinclair,Duncan Campbell,Robert McEwan,Finlay Speedie,James Stark,John Robertson,John Walker,Alec Mackie,Robert S McColl,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morton v Rangers 11 February 1905,Morton,Scottish Cup,Away,11,February,1905,1904-05,6-0,Win,Tom Sinclair,Duncan Campbell,Robert McEwan,John May,James Stark,John Robertson,John Walker,Finlay Speedie,Robert S McColl,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Celtic 18 February 1905,Celtic,League,Home,18,February,1905,1904-05,1-4,Lose,Tom Sinclair,Duncan Campbell,Robert McEwan,John May,James Stark,John Robertson,John Walker,Finlay Speedie,Robert S McColl,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Beith 25 February 1905,Beith,Scottish Cup,Home,25,February,1905,1904-05,5-1,Win,Tom Sinclair,Duncan Campbell,Robert McEwan,John May,James Stark,John Robertson,John Walker,Finlay Speedie,John Chalmers,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partick Thistle v Rangers 4 March 1905,Partick Thistle,Glasgow League,Away,4,March,1905,1904-05,0-1,Lose,Tom Sinclair,Duncan Campbell,Alec Craig,Adam Gourlay,James Stark,John May,George Chapman,Finlay Speedie,John Chalmers,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Port Glasgow Athletic 18 March 1905,Port Glasgow Athletic,League,Home,18,March,1905,1904-05,5-1,Win,Tom Sinclair,Alex Fraser,Alec Craig,John May,James Stark,John Robertson,Tommy Low,Finlay Speedie,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celtic v Rangers 25 March 1905,Celtic,Scottish Cup,Away,25,March,1905,1904-05,2-0,Win,Tom Sinclair,Alex Fraser,Alec Craig,George Henderson,James Stark,John May,Charles Donaghy,Finlay Speedie,John Robertson,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Morton 1 April 1905,Morton,League,Home,1,April,1905,1904-05,5-0,Win,Tom Sinclair,Alex Fraser,Alec Craig,George Henderson,James Stark,John Robertson,John Walker,Finlay Speedie,Robert C. Hamilton,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raith Rovers v Rangers 3 April 1905,Raith Rovers,Challenge Match,Away,3,April,1905,1904-05,3-0,Win,Carl Pekarna,Alex Fraser,Robert McEwan,Adam Gourlay,Daniel Steel,Alec Craig,Lilly,Alex Mackie,Robert S McColl,Archie Kyle,John Walker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Third Lanark 8 April 1905,Third Lanark,Scottish Cup,Neutral,8,April,1905,1904-05,0-0,Draw,Tom Sinclair,Alex Fraser,Alec Craig,George Henderson,James Stark,John Robertson,Robert C. Hamilton,Finlay Speedie,Robert S McColl,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Third Lanark 15 April 1905,Third Lanark,Scottish Cup,Neutral,15,April,1905,1904-05,1-3,Lose,Tom Sinclair,Alex Fraser,Alec Craig,George Henderson,James Stark,John Robertson,Tommy Low,Finlay Speedie,Robert S McColl,Archie Kyle,Alec Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
