Title,Opponent,Competition,Home/Away/Neutral,Day,Month,Year,Tag Season,Score (Rangers First),Win/Lose/Draw,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,,,,,,,,,,,,,,,,,
Rangers v Barrhead Rangers 7 November 1874,Barrhead Rangers,Challenge Match,Home,7,November,1874,1874-75,4-1,Win,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,John Campbell,George Philips,David Gibb,James Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Dumbarton 28 November 1874,Dumbarton,Scottish Cup,Home,28,November,1874,1874-75,0-0,Draw,James Yuill,Tom Vallance,Peter McNeil,William McNeil,John Campbell,Moses McNeil,James Watson,Peter Campbell,David Gibb,Unknown or TBC,J Rankine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumbarton v Rangers 12 December 1874,Dumbarton,Scottish Cup,Away,12,December,1874,1874-75,0-1,Lose,James Yuill,Tom Vallance,Peter McNeil,William McNeil,William McBeath,Moses McNeil,James Watson,Peter Campbell,David Gibb,George Philips,J Rankine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Vale of Leven Rovers 23 January 1875,Vale of Leven Rovers,Challenge Match,Home,23,January,1875,1874-75,2-0,Win,James Yuill,Tom Vallance,Peter McNeil,William McBeath,Peter Campbell,Moses McNeil,John Campbell,George Philips,David Gibb,James Watson,J Rankine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandyford v Rangers 6 February 1875,Sandyford,Challenge Match,Away,6,February,1875,1874-75,3-0,Win,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,John Campbell,David Gibb,George Philips,James Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrhead Rangers v Rangers 20 February 1875,Barrhead Rangers,Challenge Match,Away,20,February,1875,1874-75,2-0,Win,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,John Campbell,David Gibb,George Philips,J Rankine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Havelock v Rangers 6 March 1875,Havelock,Challenge Match,Away,6,March,1875,1874-75,2-0,Win,James Yuill,Tom Vallance,Peter McNeil,Mackie # 1,William McNeil,Moses McNeil,Peter Campbell,John Campbell,David Gibb,George Philips,J Rankine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v 23rd Renfrew Rifle Volunteers 13 March 1875,23rd Renfrew Rifle Volunteers,Challenge Match,Home,13,March,1875,1874-75,1-0,Win,James Yuill,Tom Vallance,Peter McNeil,James Watson,William McNeil,Moses McNeil,Peter Campbell,John Campbell,David Gibb,George Philips,J Rankine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rovers v Rangers 20 March 1875,Rovers,Challenge Match,Away,20,March,1875,1874-75,4-0,Win,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,John Campbell,David Gibb,George Philips,James Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Sandyford 27 March 1875,Sandyford,Challenge Match,Home,27,March,1875,1874-75,3-0,Win,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,John Campbell,David Gibb,James Watson,J Rankine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
